diameter ,wavelength ,intensity 
20,506.82,137.31
30,506.82,482.06
40,506.82,1199.62
50,506.82,2496.4
60,512.44,4661.9
70,512.44,8042.4
80,512.44,12951.077
90,518.07,19846.5
100,518.07,28702.25
105,523.69,33818.089
110,523.69,39508.056
115,523.69,45400.69
120,523.69,51353.67
125,529.31,57746.53
130,529.31,64044.57
135,534.93,72786.95
140,534.93,76335.077
145,534.93,82189.21
150,540.56,87884.58
160,546.18,98629.45
170,551.8,108668.6
180,563.05,118288.15
190,574.29,127188.99
200,579.91,135493.73
205,585.54,139323.78
210,585.54,143050.76
215,591.16,146639.03
220,596.78,150112.84
225,602.4,153525.11
230,534.93,177156.95
235,534.93,185707.45
240,534.93,194087.96
245,540.56,202677.14
250,540.56,211224.63
255,540.56,219413.67
260,546.18,227627.21
265,546.18,235732.42
270,551.8,243644.95
275,551.8,254576.58
280,557.42,259347.54
285,557.42,266963.48
290,563.05,274565.57
295,563.05,281842.01
300,568.67,289162.43
305,568.67,296089.43
307,574.29,298905
312,540.56,302218.66
319,540.56,314247.92
323,540.56,320800.18
327,540.56,327144.69
288,529.31,258891.89
335,546.18,339941.15
341,551.8,349153.95
348,551.8,359834.49
329,546.18,330387.22
339,546.18,346069.88
369,534.93,390983.39
373,534.93,398364.46
356,557.42,371826.64
361,557.42,379123.06
311,540.56,300438.55
389,529.31,433249.3
391,529.31,437984.04
399,529.31,457627.51
384,529.31,421757.89
374,529.31,400347
367,563.05,387881
382,529,417305
390,529,435607
411,529.31,488659
406,529.31,475564
401,529,462692
416,529,501874
420,529,512463
465,540.56,629457.56
496,546.18,700064.15
486,546.18,678167.81
491,546.18,689220.11
477,540.56,657458
22,506,181
33,506.8,640
39,506,1090
54,507,3175
66,512,6356
79,512.44,11996
83,512,14267
88,518,17567
101,518.07,28413.52
103,518,30313
112,523,39861
119,523.69,47927.7
123,523,52575.1
129,529.31,59992
133,529,64894
137,529,69642
144,534,78008
154,540,89224.7
149,534.93,83732.86
158,540,93598
165,546.18,100780.33
178,557,113477.73
182,557.42,117235
197,574,130572
203,574.29,135507
211,585,141759
214,585.54,144049
219,591,147687
222,591.1,149853
228,596,154082
231,529,157835.52
242,523,174535
244,523,177826
249,523.69,186354
254,523,195267
259,523,204492
267,529,220341
277,529,240847
279,529,244953
282,529,251080
286,529,259156
299,534,285922
291,534,269473
301,534,289881
302,534,291836
309,540.56,305369
311,540.56,309290.48
317,540,320561.71
321,540.56,327675.42
322,546.18,329541.21
281,529.31,249043.71
327,546,338586.12
341,557.42,362453
346,557,370793
323,546.18,331393.69
331,546.18,345451.22
366,568,401589.89
371,568.67,408906
368,568.67,404538.26
360,563.05,392706.67
312,540.56,311220
377,529.31,420591.36
390,529,454215.7
396,529.31,471453.19
383,529,435435.3
375,529.31,415905
366,568.67,401589.89
382,529.31,432879.45
390,529.31,454215.82
411,529.316,517682.13
