diameter,wavelength,intensity
20,506.82,137.31
30,506.82,482.06
40,506.82,1199.62
50,506.82,2496.4
60,512.44,4661.9
70,512.44,8042.4
80,512.44,12951.077
90,518.07,19846.5
100,518.07,28702.25
105,523.69,33818.089
110,523.69,39508.056
115,523.69,45400.69
120,523.69,51353.67
125,529.31,57746.53
130,529.31,64044.57
135,534.93,72786.95
140,534.93,76335.077
145,534.93,82189.21
150,540.56,87884.58
160,546.18,98629.45
170,551.8,108668.6
180,563.05,118288.15
190,574.29,127188.99
200,579.91,135493.73
205,585.54,139323.78
210,585.54,143050.76
215,591.16,146639.03
220,596.78,150112.84
225,602.4,153525.11
84,512,14876.67
96,518,23910
98,518.07,25666.36
66,512,6356
111,523,38731.95
132,529.32,63681.99
117,523.69,45604.74
32,506.82,581
46,506.83,1864
49,506.83,2296.23
58,512.44,4050.47
31,506,526
29,506,426
189,563,123610
184,563,119090
201,574,133920
191,574,128075
162,546,100693
159,546,97566
119,523.7,50164
144,534,81054
100,518,28702.25
113,523,43028
83,512,14755
19,506,11707
39,506.82,1105
44,506,1800
63,512.44,5533
163,546,101696
179,563.05,117350.18
211,585.54,143759
250,657.57,171560
255,670,175435
275,723,192084
269,696,187121
281,736,197626
291,749,207403
300,775.75,216252
352,880.8,270465
312,788,228577
402,946,314705
459,972,335841
359,893,277541
300,775,216252
391,946,306537
260,670.7,179581
360,893.93,278546
400,946.46,313316
410,959,319680
420,972.72,324640
430,972.727,330122
330,828.28,247511
240,644.44,163679
295,749.49,211271
490,998.99,329686
480,985.85,333566
412,972.72,320316
496,1012.12,325860
267,696.97,185325
257,683.83,176632
249,670,170021
261,683.83,180286
393,946.46,308122
406,959.59,317166
409,959.59,319068
481,985,333501
371,920.2,289161
289,749.49,205396
389,933.33,305022
489,985.85,332985
